key,label,description
14,Freedom of Expression,"Freedom of expression is a measure of the ability of individuals both to express themselves and to hear from others on private and public matters, free from censorship and without fear of retribution or outsized legal or social consequences."
15,Freedom of Movement,"Freedom of Movement is a measure of the ability of individuals to reside and move freely within a country or between countries, including the ability to leave and return to a country, for purposes of leisure, employment, emigration and asylum-seeking, without undue impediments or fear of repercussions from governments. The extent to which this right can be infringed upon is subject to national laws, issues of national security, public order and health (United Nations 1966a)."
16,Freedom of Religion,"Freedom of Religion entails the right to express or practise ones religion or faith, both publicly and privately, and individually or collectively (United Nations 1966a: article 18). It also encompasses the freedom not to practise any religion at all and to be free from the imposition of religion. The United Nations Human Rights Committee has further asserted that freedom of religion includes the right of a person to change or leave their religion, establish a new religious group (United Nations Human Rights Committee 1993), or to be non-religious. The rights of religious minorities should be equally protected (including, for example, in access to education or healthcare) and their members not discriminated against. Freedom of religion may only be subject to restrictions established in law that are necessary for public order, safety or health (United Nations 1966a: article 18)."
17,Freedom of the Press,"Freedom of the Press refers to the right of media organizations and individuals to report, publish and distribute information and opinions without governmental censorship, interference or fear of retribution. It rests on three key principles: (1) independence, allowing journalists and media outlets to operate free from undue political or corporate influence; (2) protection, ensuring journalists are safeguarded from physical harm, intimidation and unjust prosecution; and (3) transparency, promoting access to accurate information and enabling the press to scrutinize institutions, thereby fostering accountability and public discourse."
18,Gender Equality,"Gender equality refers to the equal enjoyment of rights, responsibilities and opportunities for people of any gender expression. It requires that the interests, needs and priorities of all genders in their diversity are considered (UN Women 2022). The concept is understood based on diverse perspectives of feminists and gender theorists, who have found the roots of gender inequality in social constructs rather than biological differences, critiqued gender norms which have focused on masculine ideals and challenged gender as a binary conception or an inherent identity (Beauvoir 2011; Irigaray 1977; Butler 1990). Gender equality calls for greater opportunities for women in the workforce and public life, and the need to apply an intersectional lens to analysis, recognizing that factors such as race and class shape (and are shaped by) gender inequality. The concept also addresses the ability of traditionally marginalized genders to make substantial improvements to their lives, going beyond representation and access to resources."
19,Inclusive Suffrage,"A democratic government must be representative of the people it represents, and it follows that any such government requires ensuring every member of the political community has a vote of equal weight.... However, existing states may choose to extend the franchise to non-citizens living within or without its boundaries, change the voting age, or extend/restrict the franchise to diaspora communities.... A state may also make technical or legal changes that limit or expand the practical ability of enfranchised adults to cast a vote (such as changing the distribution or voting stations or registration procedures), or it could permit a private actor, political party, or any similar such entity to act in such a way that the same effect is observed."
20,Judicial Independence,"Judicial Independence entails the justice system functioning free from influence from both government and non-state actors. Basic requisites for a judicial system that is independent and impartial are laid out in international standards and doctrine, and comprise aspects such as: the duty of government and other institutions to refrain from direct or indirect pressures, interferences or threats to the judicial process; the ability of courts to assert their competence and jurisdiction; the prohibition of special courts; the establishment of objective factors (such as appropriate qualifications and experience) for appointments and promotions; security of tenure, salary and conditions of service; and adequate provisions for disciplinary measures and their independent review (United Nations 1985)."
21,Local Democracy,"Local Democracy is the ability of subnational governments to conduct fair and credible elections, and the extent to which they are selected through them, as well as the degree to which they competently exercise the vested powers and responsibilities inherent in their offices. The GSoD Indices use a strict definition of local, that is municipal, government but the Democracy Tracker is slightly broader and considers higher-level subnational forms as well."
22,Personal Integrity and Security,"Personal Integrity and Security is a measure of the extent to which individuals physical person, personal autonomy, and personal information are free from unwarranted harm or interference from the state or other actors. Personal Integrity and Security can be harmed in many ways, including through actions that kill, maim or injure people; deprive people of their freedom without due process; limit peoples bodily autonomy; or expose information about people without their consent."
23,Political Equality,"[A]ll adult members of the political community should have an equal right to have their voices heard, and be given equal consideration in the formulation of public policy (Beetham 2009: 282). Following this definition, any reduction in an individuals voice and influence due to an ascriptive characteristic or non-political personal choice (such as place of residence or occupation) is detrimental to the overall level of political equality, and thus to the fundamental extent of democracy in the polity. As the concept of Political Equality is so broad, we measure it with reference to three subfactors: Social Group Equality, Economic Equality and Gender Equality."
24,Predictable Enforcement,"Predictable Enforcement refers to the consistent, transparent and impartial application and enforcement of laws by public servants, including bureaucrats, law enforcement agencies and the judiciary. It rests on three key principles: (1) transparency, with laws that are clear, accessible, and publicly communicated, (2) consistency, with laws uniformly applied and interpreted across different cases and individuals, and (3) impartiality, with equal enforcement of laws, regardless of an individual or entitys status or position."
25,Social Group Equality,"Social Group Equality measures the extent to which members of all social groups can enjoy the same degree of civil liberties, political power and opportunities. It also measures whether a particular group (or groups) has a more favourable position in comparison with others in the enjoyment of these rights, and conversely, if a particular group (or groups) faces repression, discrimination or persecution. Regarding the treatment of non-citizens, Social Group Equality relates to the extent to which the rule of law is ensured consistently and without discrimination, and laws and practices are applied in compliance with States international obligations."
